emp_no,first_name,last_name,birth_date,from_date,to_date,title
48153,Fumino,Uludag,1964-11-18,1997-10-29,9999-01-01,Technique Leader
48166,Angel,Spataro,1964-09-18,1991-12-03,9999-01-01,Senior Engineer
48210,Carrsten,Wilharm,1964-10-24,1991-03-30,9999-01-01,Senior Engineer
48224,Shen,Androutsos,1964-11-28,1993-11-01,9999-01-01,Senior Staff
48227,Odoardo,Budinsky,1964-02-07,1997-01-21,9999-01-01,Senior Engineer
48239,Hongzue,Angiulli,1964-10-08,1990-06-29,9999-01-01,Senior Staff
48256,Kshitij,Remmers,1964-10-14,1998-07-22,9999-01-01,Senior Engineer
48275,Sariel,Massonet,1965-01-29,1987-11-20,9999-01-01,Senior Staff
48289,Inderjeet,Back,1964-06-25,1987-12-26,9999-01-01,Senior Staff
48295,Yannik,Weedon,1964-12-25,1990-09-28,9999-01-01,Senior Staff
48299,Abdelaziz,Krychniak,1964-03-15,1986-06-09,9999-01-01,Senior Staff
48303,Mona,Ranft,1964-03-27,1992-08-18,9999-01-01,Senior Staff
48312,Hidekazu,Ciolek,1964-09-17,1991-02-24,9999-01-01,Senior Engineer
48342,Sugwoo,Demke,1964-07-09,1988-07-06,9999-01-01,Senior Engineer
48372,Shaw,Pelc,1964-05-09,1993-02-08,9999-01-01,Senior Staff
48385,Georg,Baig,1964-08-31,1988-07-18,9999-01-01,Senior Engineer
48468,Teunis,Luby,1964-03-16,1995-05-21,9999-01-01,Senior Engineer
48483,Alejandra,Munch,1964-04-12,1993-08-30,9999-01-01,Senior Staff
48492,Kankanahalli,Feinberg,1964-06-14,1997-07-12,9999-01-01,Technique Leader
48616,Branimir,Hiraishi,1964-03-09,1991-11-19,9999-01-01,Senior Staff
48635,Emran,Belinskaya,1964-09-17,1998-07-31,9999-01-01,Senior Engineer
48639,Gennadi,Demian,1964-06-22,1988-01-07,9999-01-01,Senior Engineer
48642,Kauko,Rahimi,1964-10-07,1991-07-19,9999-01-01,Senior Engineer
48674,Ziyad,Ariola,1964-11-27,1985-04-16,9999-01-01,Senior Staff
48777,Christ,Copas,1964-10-25,1999-02-27,9999-01-01,Senior Staff
48781,Pragnesh,Speel,1964-10-06,1989-02-02,9999-01-01,Senior Staff
48798,Chiradeep,Cools,1964-05-11,1986-06-02,9999-01-01,Senior Staff
48829,Abdelwaheb,Serdy,1964-08-16,1999-04-03,9999-01-01,Senior Engineer
48833,Kamran,Waeselynck,1964-04-28,1996-04-18,9999-01-01,Senior Staff
48843,Nigel,Keirsey,1964-11-22,1993-03-29,9999-01-01,Senior Staff
48882,Leen,Lamparter,1965-01-28,1993-06-07,9999-01-01,Senior Engineer
48894,Moie,Huxford,1964-12-10,1985-11-25,9999-01-01,Senior Engineer
48904,Yuichiro,Malabarba,1965-01-23,1994-03-07,9999-01-01,Senior Staff
48918,Lidong,Sadowsky,1964-11-11,1993-04-04,9999-01-01,Senior Staff
48922,Suebskul,Back,1964-04-18,1991-09-21,9999-01-01,Senior Staff
48947,Filipp,Akaboshi,1965-01-05,1992-05-20,9999-01-01,Senior Staff
48959,Gennadi,Penttonen,1964-05-12,1991-12-05,9999-01-01,Senior Staff
48968,Harngdar,Panienski,1964-06-17,1989-05-27,9999-01-01,Senior Staff
48976,Suebskul,Coullard,1964-07-19,1993-06-30,9999-01-01,Senior Staff
48994,Xiaocheng,Gente,1964-10-22,1992-06-20,9999-01-01,Senior Engineer
49010,Kazuhisa,Benantar,1965-01-16,1990-03-30,9999-01-01,Senior Staff
49017,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01,Senior Engineer
49024,Rutger,Denti,1964-03-26,1990-09-26,9999-01-01,Senior Staff
49045,Krassimir,Erie,1964-04-10,1999-01-03,9999-01-01,Senior Engineer
49059,Subhrajyoti,Masada,1964-12-29,1989-05-19,9999-01-01,Senior Staff
49071,True,Taubenfeld,1964-06-02,1999-07-14,9999-01-01,Senior Staff
49117,Mohit,Lienhardt,1964-05-23,1998-05-10,9999-01-01,Senior Engineer
49119,Lena,Peek,1965-01-09,1991-05-16,9999-01-01,Senior Engineer
49123,Nikolaos,Stroustrup,1964-06-03,1995-06-20,9999-01-01,Technique Leader
49229,Mamdouh,Madeira,1964-09-10,1994-04-26,9999-01-01,Senior Staff
49231,Marie,Dymetman,1964-09-12,1986-12-20,9999-01-01,Senior Engineer
49233,Nikolaus,Shobatake,1964-12-21,1994-08-17,9999-01-01,Senior Staff
49234,Sachio,Peres,1964-02-17,1987-11-30,9999-01-01,Senior Engineer
49268,Huiqun,Reinhard,1964-05-24,1995-01-11,9999-01-01,Senior Engineer
49307,Masali,Fortenbacher,1964-06-08,1995-06-14,9999-01-01,Senior Staff
49344,Takahito,Hiltgen,1964-09-17,1987-05-04,9999-01-01,Senior Staff
49369,Berna,Ecklund,1964-07-09,1987-10-02,9999-01-01,Senior Staff
49375,Gennady,Danner,1964-10-14,1992-04-11,9999-01-01,Senior Staff
49400,Elvis,Hutter,1964-12-20,1991-09-01,9999-01-01,Senior Engineer
49406,Unal,Weedon,1964-09-01,1995-03-18,9999-01-01,Senior Engineer
49421,Susanna,Boudaillier,1964-05-03,2002-01-10,9999-01-01,Senior Staff
49427,Mrinalini,Polajnar,1964-12-20,1992-09-07,9999-01-01,Senior Engineer
49477,Baocai,Leaver,1965-01-14,1998-08-05,9999-01-01,Senior Staff
49495,Snehasis,Christ,1964-01-15,1985-05-24,9999-01-01,Senior Engineer
49508,Yurii,Suppi,1964-09-22,1994-12-24,9999-01-01,Senior Engineer
49514,Mahendra,Delgrande,1964-01-27,1993-09-19,9999-01-01,Senior Engineer
49518,Miquel,Serre,1964-10-21,1990-04-06,9999-01-01,Senior Engineer
49579,Lene,Aumann,1964-07-08,1991-12-08,9999-01-01,Senior Engineer
49592,Zhongwei,Kobuchi,1964-08-01,1985-09-20,9999-01-01,Senior Engineer
49606,Chinho,Merey,1964-07-30,1992-10-18,9999-01-01,Technique Leader
49627,Sajjad,Rindone,1964-06-26,1992-01-29,9999-01-01,Senior Engineer
49655,Mart,Luff,1964-09-24,1993-01-03,9999-01-01,Senior Staff
49663,Danai,Edelhoff,1964-02-03,1993-12-18,9999-01-01,Senior Staff
49686,Roddy,Gonthier,1964-04-16,1996-12-02,9999-01-01,Senior Engineer
49695,Yonghoan,Morton,1964-12-29,1988-10-23,9999-01-01,Senior Staff
49713,Yinlin,Peot,1964-08-28,1989-03-21,9999-01-01,Senior Staff
49726,Manu,Iisaka,1964-05-06,1994-10-18,9999-01-01,Senior Engineer
49730,Guangming,Junet,1964-07-06,2001-07-27,9999-01-01,Senior Engineer
49749,Rayond,Preusig,1964-07-03,1989-11-22,9999-01-01,Senior Engineer
49755,Xiaobin,Benantar,1964-11-26,1990-04-02,9999-01-01,Senior Staff
49799,Krisda,Randi,1964-01-25,1993-05-21,9999-01-01,Senior Staff
49802,Randy,Huttel,1964-06-08,1992-02-17,9999-01-01,Technique Leader
49831,Kwan,Rathonyi,1964-12-04,1991-07-30,9999-01-01,Senior Engineer
49832,Magdalena,Fetvedt,1964-11-25,1985-02-13,9999-01-01,Senior Staff
49836,Jovan,Hmelo,1964-02-17,1986-07-29,9999-01-01,Senior Engineer
49844,Yaghout,Ertl,1964-09-30,1996-06-10,9999-01-01,Senior Engineer
49845,Alois,Percebois,1964-11-03,1989-11-13,9999-01-01,Senior Staff
49854,Uli,Luon,1964-04-16,1993-02-23,9999-01-01,Senior Engineer
49865,Zhenhua,Sevcikova,1964-10-29,1988-11-24,9999-01-01,Senior Staff
49868,Slavian,Billawala,1964-06-02,1994-11-11,9999-01-01,Senior Engineer
49882,Utpal,Eiron,1964-01-11,1991-11-21,9999-01-01,Senior Engineer
49892,Claudi,Meriste,1964-11-15,1987-04-03,9999-01-01,Senior Engineer
49932,Gil,Veldwijk,1964-11-01,1989-05-16,9999-01-01,Senior Engineer
49952,Djenana,Badr,1964-04-14,1985-05-07,9999-01-01,Senior Engineer
49958,Subhankar,Esposito,1964-04-27,1989-04-03,9999-01-01,Senior Staff
49962,Marlo,Otillio,1964-02-03,1985-05-09,9999-01-01,Senior Engineer
49976,Miyeon,Peternell,1964-10-25,1998-04-02,9999-01-01,Senior Staff
49985,Phuoc,Bazzichi,1964-06-17,1989-11-19,9999-01-01,Senior Staff
50004,Kish,Quittner,1964-06-11,1990-06-29,9999-01-01,Senior Staff
50056,Ung,Jiafu,1964-05-28,1990-04-16,9999-01-01,Senior Engineer
50067,Hidefumi,Morrow,1964-10-23,1990-05-11,9999-01-01,Senior Engineer
50192,Elzbieta,Litzler,1964-03-26,1988-01-06,9999-01-01,Senior Engineer
50202,Saddek,Hofman,1964-04-25,1987-06-27,9999-01-01,Senior Engineer
50208,Jianhui,Goodrum,1964-05-18,1988-09-29,9999-01-01,Senior Engineer
50212,Zengping,Carrera,1964-10-21,1992-07-03,9999-01-01,Senior Engineer
50227,Navin,Camarinopoulos,1964-01-20,1986-03-20,9999-01-01,Senior Staff
50233,Feiyu,Dulay,1964-02-12,1994-02-05,9999-01-01,Senior Staff
50264,Mohamadou,Vieth,1964-10-26,1990-07-23,9999-01-01,Senior Staff
50265,Sven,Strehl,1964-09-20,1988-07-31,9999-01-01,Senior Engineer
50276,Eldridge,Shigei,1964-02-02,1987-06-08,9999-01-01,Senior Staff
50311,Mooi,Stafford,1965-01-24,1996-10-06,9999-01-01,Senior Engineer
50313,Fen,Cappello,1964-07-25,1991-06-09,9999-01-01,Senior Engineer
50329,Hinrich,Bardell,1964-05-31,1994-12-17,9999-01-01,Senior Engineer
50341,DAIDA,Baig,1964-09-25,1988-03-08,9999-01-01,Senior Engineer
50353,Brendon,Sluis,1964-03-29,1992-06-17,9999-01-01,Senior Staff
50434,Taegyun,Mondadori,1964-04-12,1994-05-05,9999-01-01,Senior Engineer
50482,Gian,Wiegley,1964-01-27,1996-12-10,9999-01-01,Senior Engineer
50497,Zsolt,Yetim,1964-02-29,2000-09-25,9999-01-01,Senior Staff
50506,Tayeb,Lally,1964-02-11,1987-08-26,9999-01-01,Senior Engineer
50557,Kazuyasu,Savasere,1964-01-20,1991-07-12,9999-01-01,Senior Engineer
50608,Olivera,Compeau,1964-11-06,1993-05-06,9999-01-01,Senior Engineer
50624,Hirochika,Rassart,1964-12-28,1988-12-14,9999-01-01,Senior Engineer
50644,Kasidit,Cincotta,1964-04-26,1991-04-11,9999-01-01,Senior Engineer
50670,Boguslaw,Snedden,1965-01-30,1985-02-20,9999-01-01,Senior Staff
50674,Marsal,Deverell,1964-04-05,1997-01-15,9999-01-01,Senior Staff
50686,Sungwon,Solares,1964-10-21,1988-06-03,9999-01-01,Senior Engineer
50697,Arto,Rissanen,1964-09-09,1991-01-09,9999-01-01,Senior Engineer
50711,Matk,Krybus,1964-03-15,1987-05-24,9999-01-01,Senior Staff
50753,Arvind,Herber,1964-06-13,1986-07-25,9999-01-01,Senior Engineer
50756,Ishfaq,Rettelbach,1964-05-17,1989-11-03,9999-01-01,Senior Engineer
50766,Ramzi,Limongiello,1964-09-01,1995-10-29,9999-01-01,Senior Engineer
50778,Suvo,Preusig,1964-10-06,1994-02-14,9999-01-01,Senior Staff
50817,Gretta,Smeets,1964-11-23,1987-07-19,9999-01-01,Senior Engineer
50826,Heping,Oppitz,1964-10-09,1995-05-17,9999-01-01,Senior Staff
50831,Marie,Khalid,1965-01-06,1996-06-11,9999-01-01,Senior Engineer
50835,Cristinel,Edelhoff,1964-03-04,1992-05-09,9999-01-01,Senior Engineer
50845,Shichao,Hemaspaandra,1964-11-02,1996-03-21,9999-01-01,Senior Engineer
50855,Dharmaraja,Nilsson,1964-09-27,1987-10-03,9999-01-01,Senior Staff
50882,Przemyslawa,Peternell,1964-06-18,1990-06-18,9999-01-01,Senior Engineer
50894,Tianruo,Snyers,1964-08-03,1996-10-31,9999-01-01,Senior Staff
50914,Tommaso,Fraisse,1964-11-03,1997-06-08,9999-01-01,Senior Engineer
50920,Kwan,Kilgore,1964-03-15,1998-08-08,9999-01-01,Senior Staff
50964,Hidefumi,Gide,1964-06-25,1988-01-17,9999-01-01,Technique Leader
50976,Nectarios,Kropp,1964-04-28,1992-12-02,9999-01-01,Senior Staff
50992,Ult,Benzaken,1964-02-19,1998-07-20,9999-01-01,Senior Staff
50993,Bartek,Reutenauer,1964-04-14,1987-08-31,9999-01-01,Senior Staff
51002,Zsolt,Picel,1964-09-04,1987-02-06,9999-01-01,Senior Engineer
51048,Nectarios,Bresenham,1964-07-12,1995-01-17,9999-01-01,Senior Staff
51051,Feipei,Chaudhury,1964-08-09,1988-07-25,9999-01-01,Senior Staff
51057,Theirry,Albarhamtoshy,1965-01-29,1991-09-27,9999-01-01,Senior Staff
51060,Youngkon,Rohrbach,1965-01-15,1989-10-20,9999-01-01,Senior Engineer
51068,Rosine,Zolotykh,1964-03-16,1997-07-30,9999-01-01,Senior Staff
51122,Dekang,Ashish,1964-06-26,1990-12-31,9999-01-01,Senior Engineer
51142,Rosine,Lakshmanan,1965-01-29,1986-01-31,9999-01-01,Senior Engineer
51164,Sangeeta,Khasidashvili,1964-02-09,1998-10-30,9999-01-01,Senior Staff
51174,Shugo,Erol,1964-03-19,1997-01-02,9999-01-01,Senior Staff
51186,Chenxi,Sluis,1964-05-09,1986-03-13,9999-01-01,Senior Staff
51193,Sergi,Leppanen,1964-03-01,1987-04-10,9999-01-01,Senior Engineer
51248,Bernt,Ratnakar,1964-09-24,1990-02-21,9999-01-01,Senior Engineer
51305,Leen,Miake,1964-10-12,1992-09-12,9999-01-01,Senior Engineer
51345,Tetsushi,Segond,1964-07-21,1989-10-18,9999-01-01,Senior Staff
51354,Gina,Ariola,1964-11-04,1992-07-22,9999-01-01,Technique Leader
51365,Leucio,Stranks,1964-08-25,1995-12-05,9999-01-01,Senior Engineer
51422,Roded,Gecsel,1964-10-17,1993-09-28,9999-01-01,Senior Staff
51424,Aruna,Deville,1964-07-13,1989-12-11,9999-01-01,Senior Staff
51442,Lakshmi,Petersohn,1964-10-13,1992-06-30,9999-01-01,Senior Engineer
51447,Steve,Crabtree,1964-12-20,1993-12-19,9999-01-01,Senior Engineer
51538,Mahmut,McClure,1964-03-21,1997-05-23,9999-01-01,Senior Engineer
51539,Tsutomu,Seuren,1964-07-13,1989-01-21,9999-01-01,Senior Staff
51572,Mahmut,Kobara,1964-03-20,1996-07-04,9999-01-01,Senior Staff
51582,Adel,Zambonelli,1964-06-14,1997-05-13,9999-01-01,Senior Engineer
51584,Jeong,Suppi,1964-03-16,1991-08-17,9999-01-01,Senior Staff
51641,Terresa,Farrow,1964-05-09,1987-10-17,9999-01-01,Senior Staff
51682,Waiman,Paludetto,1964-06-28,1986-07-27,9999-01-01,Senior Engineer
51693,Yolla,Kopetz,1964-12-24,1988-10-24,9999-01-01,Senior Engineer
51719,Kokou,Kaiser,1964-09-11,1992-08-31,9999-01-01,Senior Engineer
51725,Leif,Radivojevic,1964-05-16,1999-03-27,9999-01-01,Technique Leader
51745,Sukumar,Merks,1964-03-13,1995-07-12,9999-01-01,Senior Engineer
51762,Kousuke,Moehrke,1964-12-29,2000-09-17,9999-01-01,Senior Staff
51763,Jianhui,Garigliano,1964-11-14,1988-11-19,9999-01-01,Senior Engineer
51783,Keiichiro,Zhang,1964-08-26,1985-02-25,9999-01-01,Senior Engineer
51820,George,Grandbois,1964-03-29,1986-09-05,9999-01-01,Senior Engineer
51824,Anneli,Kusakabe,1964-01-12,1990-07-13,9999-01-01,Senior Engineer
51883,Kwee,Blokdijk,1964-06-18,1996-04-19,9999-01-01,Senior Engineer
51889,Shawna,Hatcliff,1964-02-11,1991-03-23,9999-01-01,Senior Staff
51925,Bader,Conia,1964-03-09,1989-09-10,9999-01-01,Senior Staff
51937,True,Neiman,1964-01-20,1991-01-01,9999-01-01,Senior Engineer
51951,Hilari,Stifter,1964-06-24,1993-11-04,9999-01-01,Senior Engineer
51962,Soenke,Rohrbach,1964-10-13,1987-09-17,9999-01-01,Senior Staff
51976,Florian,Vidya,1964-12-13,1994-01-04,9999-01-01,Senior Staff
51999,Katsuo,Vendrig,1964-04-30,1989-12-13,9999-01-01,Senior Engineer
52011,Godehard,Sundgren,1964-08-15,1993-07-26,9999-01-01,Senior Staff
52038,Chikako,Armand,1965-01-13,1985-05-18,9999-01-01,Senior Engineer
52040,Phule,Heijenga,1965-01-14,1996-12-08,9999-01-01,Senior Staff
52047,Gita,Mapelli,1964-12-07,1988-10-22,9999-01-01,Senior Staff
52061,Jayesh,Dusink,1964-01-12,1997-11-30,9999-01-01,Senior Engineer
52077,Rosella,Streit,1964-12-14,1988-02-24,9999-01-01,Senior Engineer
52081,Renee,Hiraishi,1964-03-07,1988-11-30,9999-01-01,Technique Leader
52096,Tomokazu,Yetim,1964-11-25,1986-07-06,9999-01-01,Senior Staff
52104,Tomokazu,Zastre,1964-01-29,1988-06-04,9999-01-01,Senior Engineer
52118,Laurentiu,Kruskal,1964-05-16,1993-07-11,9999-01-01,Senior Engineer
52129,Tokuyasu,Schiettecatte,1964-05-31,1991-02-11,9999-01-01,Senior Engineer
52136,Munehiko,Meszaros,1964-12-13,1996-03-30,9999-01-01,Senior Engineer
52176,Jasminko,Macedo,1964-11-08,1990-11-02,9999-01-01,Senior Engineer
52189,Gennadi,DuCasse,1964-08-21,1996-08-07,9999-01-01,Senior Engineer
52197,Lunjin,Thisen,1964-01-28,1993-08-03,9999-01-01,Senior Engineer
52199,Chikako,Figueira,1964-09-12,1989-11-25,9999-01-01,Senior Engineer
52212,Uno,Piancastelli,1964-12-20,1989-11-20,9999-01-01,Senior Engineer
52215,Flemming,Uhrik,1964-04-02,1989-05-09,9999-01-01,Senior Engineer
52243,Zhiguo,Swen,1964-09-19,1987-10-22,9999-01-01,Senior Engineer
52251,Uri,Jonsson,1964-12-20,1995-12-08,9999-01-01,Senior Staff
52283,Trygve,Krupka,1965-01-20,1994-03-11,9999-01-01,Senior Staff
52284,Tran,Shackell,1964-09-02,1987-09-26,9999-01-01,Senior Staff
52316,Kotesh,Piazza,1964-01-09,1987-03-31,9999-01-01,Senior Engineer
52325,Adas,Heinisuo,1964-08-09,2000-10-14,9999-01-01,Senior Staff
52349,Ipke,Lorcy,1964-02-24,1987-06-27,9999-01-01,Senior Engineer
52386,Adas,Denti,1965-01-28,1986-05-30,9999-01-01,Senior Staff
52389,Sajjad,Schiettecatte,1964-09-02,1993-01-06,9999-01-01,Senior Staff
52405,Ibibia,Qiwen,1964-07-30,1995-07-24,9999-01-01,Senior Engineer
52437,Eckart,Hiyoshi,1964-06-06,1985-03-16,9999-01-01,Senior Staff
52438,Kousuke,Suermann,1964-07-02,1986-06-20,9999-01-01,Technique Leader
52439,Shem,Lorho,1964-08-08,1993-06-02,9999-01-01,Senior Engineer
52444,Tiina,Serna,1964-07-14,1985-05-03,9999-01-01,Senior Staff
52455,Kinh,Takkinen,1964-03-24,1992-03-06,9999-01-01,Senior Engineer
52519,Rafail,Gargeya,1964-04-11,2001-11-19,9999-01-01,Senior Staff
52522,Sukumar,Veeraraghavan,1964-10-05,1985-10-22,9999-01-01,Senior Staff
52590,Jouni,Munoz,1965-01-21,1996-10-07,9999-01-01,Senior Staff
52594,Uta,Driscoll,1964-06-24,1991-11-27,9999-01-01,Senior Engineer
52599,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01,Senior Engineer
52615,Ghassan,Baak,1964-12-17,1986-03-11,9999-01-01,Senior Staff
52639,Arup,Colorni,1965-01-09,1996-02-05,9999-01-01,Senior Staff
52650,Shooichi,Makinen,1964-03-30,1987-01-15,9999-01-01,Senior Staff
52664,Godehard,Schnelling,1964-02-23,1995-08-07,9999-01-01,Senior Engineer
52678,Lijie,Bratten,1964-06-17,1987-07-17,9999-01-01,Senior Engineer
52707,Trygve,Merel,1964-11-15,1990-01-10,9999-01-01,Senior Engineer
52720,Ishfaq,Hebert,1964-08-22,1991-03-04,9999-01-01,Senior Engineer
52753,Xudong,Leppanen,1964-12-20,1987-08-06,9999-01-01,Senior Staff
52754,Howell,Mandell,1964-09-23,1986-12-12,9999-01-01,Senior Staff
52770,Shugo,Yurek,1965-01-31,1992-08-28,9999-01-01,Senior Staff
52772,Masami,Karner,1964-06-04,1986-02-15,9999-01-01,Senior Staff
52778,Alain,Penn,1965-01-15,1986-05-03,9999-01-01,Technique Leader
52831,Chiranjit,Simmen,1964-09-20,1986-02-09,9999-01-01,Senior Engineer
52843,Juyoung,Androutsos,1964-07-15,1991-01-19,9999-01-01,Senior Engineer
52854,Saddek,Luit,1964-08-10,1992-04-15,9999-01-01,Senior Staff
52872,Perry,Soicher,1964-11-15,1990-07-11,9999-01-01,Senior Staff
52888,Francoise,Rehfuss,1964-02-14,1994-10-20,9999-01-01,Senior Engineer
52914,Mabo,Bolsens,1964-05-19,1997-01-29,9999-01-01,Senior Engineer
52940,Heping,Siochi,1964-08-04,1992-07-10,9999-01-01,Senior Engineer
52941,Rafail,Seiwald,1964-09-07,1993-06-16,9999-01-01,Senior Staff
52948,Steve,Georgakopoulos,1964-12-06,1988-01-07,9999-01-01,Senior Engineer
52956,Khalil,Picci,1965-01-31,1998-11-24,9999-01-01,Senior Engineer
52970,Lobel,Werthner,1965-01-22,1988-03-17,9999-01-01,Senior Engineer
52972,Luerbio,Kirkerud,1964-07-12,1991-06-20,9999-01-01,Senior Staff
52984,Arvind,Velardi,1964-04-30,1986-11-10,9999-01-01,Senior Engineer
52989,Adit,Raney,1964-07-18,1998-08-29,9999-01-01,Senior Engineer
53017,Zhonghui,Simkin,1964-07-22,1995-03-05,9999-01-01,Senior Staff
53034,Shigenori,Bojadziev,1964-03-20,1993-03-12,9999-01-01,Senior Engineer
53044,Hinrich,Schaad,1964-01-23,1987-05-03,9999-01-01,Senior Engineer
53071,Weiyi,Baek,1964-11-12,1989-04-24,9999-01-01,Senior Staff
53085,Ziyad,Melter,1964-06-22,1996-05-16,9999-01-01,Senior Staff
53095,Utpal,Riesenhuber,1964-11-05,1992-01-15,9999-01-01,Senior Engineer
53102,Sreekrishna,Muchinsky,1964-12-30,1985-10-30,9999-01-01,Senior Staff
53132,Yolla,Swist,1964-10-02,1991-09-17,9999-01-01,Senior Engineer
53142,Fumiya,Aloia,1964-08-18,1986-10-20,9999-01-01,Senior Engineer
53144,Marke,Stroustrup,1964-04-21,1986-06-10,9999-01-01,Senior Engineer
53176,Changho,Zockler,1964-05-21,1996-04-02,9999-01-01,Senior Staff
53226,Yurij,Koyama,1964-09-22,1992-06-04,9999-01-01,Senior Staff
53253,Renny,Rousseau,1964-07-19,1988-07-30,9999-01-01,Senior Engineer
53278,Premsyl,Lortz,1965-01-31,1993-02-01,9999-01-01,Senior Staff
53287,Youngkon,Walstra,1964-07-20,1998-03-02,9999-01-01,Senior Engineer
53332,Niteen,Birsak,1964-03-15,1990-09-14,9999-01-01,Senior Engineer
53351,Uinam,Kalorkoti,1964-11-25,1994-07-20,9999-01-01,Senior Engineer
53385,Kenton,Melter,1964-05-01,1995-04-12,9999-01-01,Senior Staff
53387,Wojceich,Zyda,1964-07-02,1987-01-18,9999-01-01,Senior Staff
53431,Sham,Vasanthakumar,1965-01-12,1993-05-24,9999-01-01,Senior Staff
53483,Guangming,Luby,1964-08-29,1994-05-10,9999-01-01,Senior Staff
53499,Zdislav,Mandelberg,1965-01-20,1994-09-11,9999-01-01,Senior Engineer
53575,Premal,Gill,1964-02-26,1990-12-27,9999-01-01,Senior Engineer
53597,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01,Senior Engineer
53630,Aluzio,Paludetto,1964-11-13,1992-10-17,9999-01-01,Senior Engineer
53647,Karsten,Munoz,1964-06-03,1990-09-14,9999-01-01,Senior Staff
53656,Nagui,Chappelet,1964-04-20,1988-12-04,9999-01-01,Senior Staff
53667,Tokuyasu,Matteis,1964-01-01,1987-05-08,9999-01-01,Technique Leader
53698,Nimmagadda,Cronau,1964-09-02,1994-08-08,9999-01-01,Senior Engineer
53714,Radhia,Hofting,1964-10-30,1991-09-20,9999-01-01,Technique Leader
53722,Nikolaus,Fetvedt,1964-07-24,1993-10-23,9999-01-01,Senior Staff
53737,Masami,Kaminger,1964-11-05,1992-09-07,9999-01-01,Senior Engineer
53750,Zhigen,Masand,1964-01-22,1992-10-28,9999-01-01,Senior Staff
53806,Troy,Beidas,1964-09-16,1999-03-25,9999-01-01,Senior Staff
53844,Moon,Mitzlaff,1964-07-27,1994-06-17,9999-01-01,Senior Engineer
53874,Bodo,Schade,1965-01-23,1986-02-14,9999-01-01,Senior Staff
53876,Tomoyuki,Melski,1964-07-24,1995-03-02,9999-01-01,Senior Engineer
53890,Lenore,Beetstra,1964-08-12,1989-04-05,9999-01-01,Senior Engineer
53908,Steen,Itzfeldt,1964-11-18,1994-02-23,9999-01-01,Senior Engineer
53924,Arnould,Gaughan,1965-01-27,1991-01-23,9999-01-01,Senior Engineer
53968,Weiye,Burnard,1964-08-13,1996-10-03,9999-01-01,Senior Engineer
53997,Terresa,Wursthorn,1964-02-13,1993-10-18,9999-01-01,Technique Leader
54000,Geraldo,Rusterholz,1964-11-09,1991-03-23,9999-01-01,Senior Engineer
54026,Zijian,Toyoshima,1964-07-05,1993-01-14,9999-01-01,Senior Staff
54059,Shakhar,Danley,1964-07-08,1993-04-22,9999-01-01,Senior Engineer
54106,Arun,Speek,1964-05-30,1990-11-30,9999-01-01,Senior Engineer
54117,Jagoda,Kuhnemann,1964-10-01,1999-12-07,9999-01-01,Senior Staff
54145,Elgin,Deyuan,1964-02-01,1996-06-15,9999-01-01,Senior Staff
54198,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Senior Engineer
54215,Branimir,Nivat,1964-11-06,1996-11-27,9999-01-01,Senior Engineer
54229,Limsoon,Yemenis,1964-08-07,1986-04-23,9999-01-01,Senior Staff
54249,Sadegh,Bultermann,1964-07-29,1985-05-03,9999-01-01,Senior Staff
54252,Shuky,Fontan,1964-06-30,2000-08-09,9999-01-01,Senior Engineer
54261,Spyrose,Marsiglia,1964-03-21,1988-02-08,9999-01-01,Senior Staff
54378,Wanqing,McAlpine,1964-03-30,1989-12-10,9999-01-01,Senior Staff
54404,Khedija,Merle,1964-06-26,1990-07-02,9999-01-01,Senior Staff
54422,Spyrose,Famili,1964-10-02,1992-11-10,9999-01-01,Senior Engineer
54449,Duri,Gien,1964-10-21,1989-02-21,9999-01-01,Senior Staff
54544,Diederik,Kandlur,1964-03-25,1989-06-19,9999-01-01,Senior Staff
54568,Moon,Lorys,1964-06-24,1995-04-01,9999-01-01,Senior Engineer
54601,Hongzhu,Usery,1964-05-07,1988-12-13,9999-01-01,Senior Engineer
54632,Etsuo,Serot,1965-01-19,1989-06-14,9999-01-01,Senior Staff
54640,Jinya,Lindqvist,1964-10-25,1987-02-20,9999-01-01,Senior Staff
54650,Bokyung,Brickell,1964-03-25,1995-09-25,9999-01-01,Senior Staff
54678,Tonny,Marchesini,1964-07-03,1987-03-01,9999-01-01,Senior Staff
54694,Ebru,Melton,1964-06-27,1988-02-17,9999-01-01,Senior Engineer
54723,Shay,Bellmore,1964-05-24,2002-01-10,9999-01-01,Senior Staff
54725,Holgard,Anido,1964-07-23,1987-12-01,9999-01-01,Senior Engineer
54750,Zhanqiu,Beilner,1964-10-09,1994-09-20,9999-01-01,Senior Staff
54771,Tetsurou,Peir,1964-10-08,1992-06-09,9999-01-01,Senior Engineer
54776,Hyuckchul,Rossi,1964-02-22,1988-11-25,9999-01-01,Senior Staff
54780,Tsuneo,Demke,1964-08-15,1987-09-21,9999-01-01,Technique Leader
54791,Valdiodio,Hockney,1964-07-18,1987-12-20,9999-01-01,Senior Staff
54795,Sumant,Nergos,1965-01-29,1994-03-02,9999-01-01,Senior Staff
